Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.149e+00,0.704,0.712,0.234,0.254
-4.147e+00,0.704,0.688,0.234,0.206
-4.146e+00,0.704,0.712,0.23,0.254
-4.144e+00,0.704,0.688,0.234,0.21
-4.142e+00,0.704,0.712,0.234,0.25
-4.140e+00,0.696,0.688,0.226,0.202
-4.138e+00,0.696,0.704,0.23,0.254
-4.136e+00,0.696,0.68,0.234,0.206
-4.134e+00,0.696,0.704,0.23,0.25
-4.132e+00,0.696,0.68,0.222,0.206
-4.130e+00,0.688,0.704,0.23,0.25
-4.128e+00,0.696,0.68,0.23,0.206
-4.126e+00,0.688,0.696,0.218,0.246
-4.124e+00,0.688,0.68,0.222,0.206
-4.123e+00,0.688,0.696,0.234,0.25
-4.121e+00,0.688,0.672,0.226,0.206
-4.119e+00,0.688,0.696,0.222,0.246
-4.117e+00,0.68,0.672,0.23,0.202
-4.115e+00,0.68,0.688,0.226,0.246
-4.113e+00,0.68,0.664,0.226,0.202
-4.111e+00,0.68,0.688,0.218,0.246
-4.109e+00,0.68,0.664,0.226,0.202
-4.107e+00,0.672,0.688,0.222,0.242
-4.105e+00,0.672,0.664,0.218,0.202
-4.103e+00,0.672,0.68,0.23,0.242
-4.101e+00,0.672,0.656,0.218,0.202
-4.099e+00,0.664,0.68,0.222,0.242
-4.098e+00,0.664,0.656,0.226,0.198
-4.096e+00,0.664,0.672,0.226,0.242
-4.094e+00,0.664,0.648,0.218,0.198
-4.092e+00,0.664,0.672,0.218,0.238
-4.090e+00,0.656,0.648,0.226,0.198
-4.088e+00,0.656,0.672,0.222,0.242
-4.086e+00,0.656,0.648,0.218,0.198
-4.084e+00,0.656,0.664,0.222,0.238
-4.082e+00,0.656,0.64,0.226,0.194
-4.080e+00,0.648,0.664,0.222,0.238
-4.078e+00,0.648,0.64,0.218,0.198
-4.076e+00,0.64,0.656,0.226,0.238
-4.075e+00,0.648,0.632,0.214,0.19
-4.073e+00,0.648,0.656,0.222,0.234
-4.071e+00,0.648,0.632,0.214,0.194
-4.069e+00,0.64,0.656,0.214,0.238
-4.067e+00,0.64,0.624,0.21,0.19
-4.065e+00,0.64,0.648,0.206,0.234
-4.063e+00,0.64,0.624,0.21,0.19
-4.061e+00,0.64,0.648,0.206,0.234
-4.059e+00,0.632,0.624,0.214,0.19
-4.057e+00,0.632,0.64,0.218,0.23
-4.055e+00,0.624,0.616,0.21,0.19
-4.053e+00,0.624,0.64,0.206,0.23
-4.051e+00,0.624,0.608,0.218,0.19
-4.050e+00,0.624,0.632,0.21,0.23
-4.048e+00,0.624,0.608,0.206,0.186
-4.046e+00,0.616,0.632,0.214,0.23
-4.044e+00,0.616,0.608,0.214,0.186
-4.042e+00,0.608,0.624,0.198,0.226
-4.040e+00,0.608,0.6,0.202,0.186
-4.038e+00,0.616,0.624,0.214,0.226
-4.036e+00,0.608,0.592,0.21,0.182
-4.034e+00,0.608,0.616,0.202,0.226
-4.032e+00,0.6,0.592,0.198,0.182
-4.030e+00,0.6,0.616,0.206,0.222
-4.028e+00,0.6,0.584,0.202,0.182
-4.026e+00,0.6,0.608,0.21,0.222
-4.025e+00,0.592,0.584,0.198,0.178
-4.023e+00,0.592,0.608,0.19,0.222
-4.021e+00,0.592,0.576,0.194,0.182
-4.019e+00,0.592,0.6,0.198,0.222
-4.017e+00,0.584,0.576,0.202,0.174
