Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.02,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.274e+00,-1.78814e-11,-0.0016,0.57,0.49
-4.272e+00,-1.78814e-11,0.0024,0.53,0.59
-4.270e+00,-1.78814e-11,-0.0016,0.53,0.45
-4.268e+00,-1.78814e-11,0.0024,0.51,0.55
-4.267e+00,0.0008,-0.0016,0.49,0.41
-4.265e+00,-1.78814e-11,0.0024,0.47,0.51
-4.263e+00,-1.78814e-11,-0.0016,0.45,0.37
-4.261e+00,-1.78814e-11,0.0016,0.43,0.49
-4.259e+00,0.0008,-0.0016,0.41,0.35
-4.257e+00,0.0008,0.0024,0.39,0.45
-4.255e+00,-1.78814e-11,-0.0016,0.37,0.31
-4.253e+00,-1.78814e-11,0.0016,0.33,0.41
-4.251e+00,-1.78814e-11,-0.0016,0.31,0.27
-4.249e+00,-1.78814e-11,0.0016,0.31,0.37
-4.247e+00,0.0008,-0.0016,0.29,0.23
-4.245e+00,-1.78814e-11,0.0024,0.27,0.33
-4.243e+00,-1.78814e-11,-0.0016,0.25,0.19
-4.242e+00,0.0008,0.0024,0.25,0.29
-4.240e+00,-1.78814e-11,-0.0016,0.23,0.15
-4.238e+00,-1.78814e-11,0.0024,0.21,0.25
-4.236e+00,0.0008,-0.0016,0.19,0.11
-4.234e+00,-1.78814e-11,0.0024,0.17,0.23
-4.232e+00,-1.78814e-11,-0.0016,0.17,0.07
-4.230e+00,-1.78814e-11,0.0024,0.13,0.19
-4.228e+00,-1.78814e-11,-0.0016,0.11,0.03
-4.226e+00,-1.78814e-11,0.0024,0.09,0.15
-4.224e+00,-1.78814e-11,-0.0016,0.07,0.01
-4.222e+00,-1.78814e-11,0.0024,0.05,0.11
-4.220e+00,-1.78814e-11,-0.0016,0.05,-0.03
-4.219e+00,0.0008,0.0024,0.01,0.07
-4.217e+00,-1.78814e-11,-0.0016,-0.01,-0.07
-4.215e+00,-1.78814e-11,0.0024,-0.03,0.03
-4.213e+00,0.0008,-0.0016,-0.05,-0.11
-4.211e+00,-1.78814e-11,0.0024,-0.07,-0.01
-4.209e+00,0.0008,-0.0016,-0.09,-0.15
-4.207e+00,-1.78814e-11,0.0024,-0.11,-0.05
-4.205e+00,-1.78814e-11,-0.0016,-0.13,-0.19
-4.203e+00,0.0008,0.0016,-0.13,-0.07
-4.201e+00,0.0008,-0.0016,-0.17,-0.23
-4.199e+00,0.0008,0.0024,-0.17,-0.13
-4.197e+00,0.0008,-0.0016,-0.19,-0.27
-4.195e+00,-0.0008,0.0016,-0.21,-0.15
-4.194e+00,0.0008,-0.0016,-0.23,-0.29
-4.192e+00,0.0008,0.0024,-0.23,-0.19
